source,target,weight
brito_efrem,DCDM115,1
brasilacim,joaovoltou,1
brasilacim,Suzano_info,1
brasilacim,JoaquinTeixeira,1
brasilacim,Elainnefaria1,1
bpdanielrocha,patriamada07,1
bpdanielrocha,cardoso_boni,1
bpdanielrocha,Wallcostajf,1
bpdanielrocha,MauricioCostaRS,1
bysincerona,Dan_SK,1
bpdanielrocha,LueltonB,1
bysincerona,DielNascimento4,1
bysincerona,adamoantonioni,1
bola1companhero,lazarorosa25,1
bola1companhero,consallys,1
bysincerona,carloscamargo,1
bin_vera,JoaquinTeixeira,1
capiaudosertao,linapaulaqueir1,1
bin_vera,DCDM115,1
carlosmouramelo,DREEZ_171,1
carlosmouramelo,MarcelaSaraivas,1
carlosmouramelo,ZellFlorizel,1
betobraga14,vanzuty,1
betobraga14,linapaulaqueir1,1
betobraga14,Wallcostajf,1
betobraga14,Suzano_info,1
carlosmouramelo,buarqueana13,1
carlosmouramelo,cervejadgarrafa,1
bubuzinha,lolaescreva,1
carlosmouramelo,daniduncan,1
carlosmouramelo,euailze,1
betobraga14,Fiuzafirmao2,1
carlosmouramelo,nadiaprado7,1
betobraga14,Andrisa01,1
bethebaroni,lolaescreva,1
carlosrafer,_Janoninho,1
bethebaroni,joaodomenech,1
carlosrafer,joaodomenech,1
carlosrafer,lazarorosa25,1
carlostaurus99,AngelJones_13,1
bethebaroni,RonnyCombate,1
carlostaurus99,CrisSilvaSJC,1
carlostaurus99,EdsonFilho74,1
cap_rj,MrochaNysoft,1
bin_vera,MauricioCostaRS,1
binyfim,AppelLuciano,1
binyfim,marcosaraujjoo,1
bola1companhero,cesarcalejon1,1
bola1companhero,SamuraiChines,1
bysincerona,cassiooliveir_,1
bola1companhero,EdsonFilho74,1
bysincerona,cervejadgarrafa,1
bola1companhero,CarlosS48442375,1
boapauta,vanete_araujo,1
boapauta,CinthiaMagal,1
bysincerona,cesarcalejon1,1
bysincerona,claudiofalatudo,1
bluiz2010,JoaquinTeixeira,1
bysincerona,consallys,1
bysincerona,daniduncan,1
binyfim,GgmAndrews,1
bysincerona,didizinhailha,1
bysincerona,euailze,1
bysincerona,fonncllau10,1
binyfim,MauricioCostaRS,1
bysincerona,kelvin_a10,1
binyfim,JoaquinTeixeira,1
bysincerona,lazarorosa25,1
bysincerona,lolaescreva,1
bysincerona,lucivaniasousa,1
bysincerona,nadiaprado7,1
binyfim,GleissonOpus,1
bysincerona,oicram2016,1
13Danreis,GgmAndrews,1
conciliele,fonncllau10,1
clarahcantunes,Edu210670,1
edvaldo_fonseca,kelvin_a10,1
egty,JoaquinTeixeira,1
efbastos,OliverNoronha,1
efbastos,JoaquinTeixeira,1
edy5713,MauricioCostaRS,1
edvaldo_fonseca,queenvermelha13,1
edvaldo_fonseca,nadiaprado7,1
edvaldo_fonseca,marcosaraujjoo,1
edvaldo_fonseca,lolaescreva,1
edvaldo_fonseca,euailze,1
clarahcantunes,Fran_apropria,1
edvaldo_fonseca,claudiofalatudo,1
edvaldo_fonseca,cesarcalejon1,1
edvaldo_fonseca,buarqueana13,1
edvaldo_fonseca,adamoantonioni,1
edvaldo_fonseca,Solphis_chan,1
edvaldo_fonseca,RonnyCombate,1
edvaldo_fonseca,OBrizolulista,1
edvaldo_fonseca,MarcelaSaraivas,1
elA58735258,BrunoCalixto22,1
elA58735258,Danicarlasou,1
elA58735258,Suzano_info,1
elianefernandas,Solphis_chan,1
eliza_junior,goncalves273,1
eliza_junior,Wallcostajf,1
eliza_junior,Suzano_info,1
eliza_junior,John_N4varro,1
eliza_junior,Elainnefaria1,1
eliza_junior,Edu210670,1
elimarconde,FelipZimmer,1
elibarbosa1212,cesarcalejon1,1
elibarbosa1212,LucianaMSSanch1,1
eliasoliveiradm,UdaJuris2022,1
elianefernandas,queenvermelha13,1
elianefernandas,marcosaraujjoo,1
elianefernandas,lazarorosa25,1
elianefernandas,cunha_dil,1
elianefernandas,cesarcalejon1,1
elianefernandas,_Janoninho,1
elianefernandas,VanessaCruzs2,1
edvaldo_fonseca,LucianaMSSanch1,1
edvaldo_fonseca,EdsonFilho74,1
edvaldo_fonseca,DielNascimento4,1
edcar1811,Henriq3581,1
edcar1811,Danicarlasou,1
edcar1811,BrunoCalixto22,1
e2005lopes,Wallcostajf,1
e2005lopes,MauricioCostaRS,1
e2005lopes,John_N4varro,1
e2005lopes,Danicarlasou,1
dulcicechinel_,Wallcostajf,1
dulcicechinel_,MarloneBHMG,1
dulcecfsbarbosa,JoaquinTeixeira,1
dudinhazinhaq,marcosaraujjoo,1
dudinhazinhaq,lucivaniasousa,1
dudinhazinhaq,kelvin_a10,1
dudinhazinhaq,joaodomenech,1
dudinhazinhaq,daniduncan,1
dudinhazinhaq,cervejadgarrafa,1
dudinhazinhaq,DREEZ_171,1
dudapupe,MauricioCostaRS,1
edcar1811,FelipZimmer,1
edcar1811,Suzano_info,1
edvaldo_fonseca,DREEZ_171,1
edcar1811,aro_marcia,1
edvaldo_fonseca,CarlosS48442375,1
eduzanete,queenvermelha13,1
eduzanete,lazarorosa25,1
eduzanete,cesarcalejon1,1
edsalex,MauricioCostaRS,1
edsalex,JoaquinTeixeira,1
edsalex,Elainnefaria1,1
eddie_engels,lazarorosa25,1
eddie_engels,euailze,1
eddie_engels,daniduncan,1
eddie_engels,consallys,1
eddie_engels,cervejadgarrafa,1
eddie_engels,buarqueana13,1
eddie_engels,MarcelaSaraivas,1
eddie_engels,EdsonFilho74,1
eddie_engels,DielNascimento4,1
eddie_engels,DREEZ_171,1
eliza_junior,leojardels,1
eliza_junior,psy_fps,1
eliza_junior,vanete_araujo,1
fabimazzeron,BrunoCalixto22,1
fabicoelhovet,PolticaDVerdade,1
f_taniaferrari,vanzuty,1
euvithecrown,nadiaprado7,1
euvithecrown,lazarorosa25,1
euvithecrown,euailze,1
euvithecrown,consallys,1
euvithecrown,cesarcalejon1,1
euvithecrown,cervejadgarrafa,1
euvithecrown,buarqueana13,1
euvithecrown,_Janoninho,1
euvithecrown,MarcelaSaraivas,1
euvithecrown,DREEZ_171,1
euvaldojr,Suzano_info,1
eusamyra20,KaiolOof,1
eusamyra20,FelipZimmer,1
eusamyra20,BrunoCalixto22,1
erwalio,FelipZimmer,1
fabicoelhovet,linapaulaqueir1,1
fabimazzeron,DCDM115,1
enriique_garcia,E_PaKabah,1
fabimazzeron,JoaquinTeixeira,1
fabiolabarcela,Cro_thom,1
fabiolabarcela,CarlosS48442375,1
fabiolabarcela,AngelJones_13,1
fabiola___rf,Danicarlasou,1
fabiola___rf,CinthiaMagal,1
fabiobatistalo1,E_PaKabah,1
fabio8304,sorayabborges,1
fabio8304,fonncllau10,1
fabio8304,buarqueana13,1
fabio8304,_Janoninho,1
fabio8304,SessaAriel,1
fabio8304,RonaldoJBBarros,1
fabio8304,PalhaWill,1
fabio8304,JRBRONKO,1
fabio8304,IsabelA11063116,1
fabimazzeron,UdaJuris2022,1
fabimazzeron,Kaiqueporto32,1
enriique_garcia,willmourds,1
eng_kelly,nadiaprado7,1
elizsoares,AngelJones_13,1
elizsoares,giordano_girl,1
elizsoares,daniduncan,1
elizsoares,cesarcalejon1,1
elizsoares,cervejadgarrafa,1
elizsoares,cassiooliveir_,1
elizsoares,buarqueana13,1
elizsoares,adamoantonioni,1
elizsoares,_Janoninho,1
elizsoares,TiciaEvans,1
elizsoares,OBrizolulista,1
elizsoares,MarcelaSaraivas,1
elizsoares,M_Cristian18,1
elizsoares,ElzaAugusta,1
elizsoares,EdsonFilho74,1
elizsoares,Dan_SK,1
elizsoares,DREEZ_171,1
elizsoares,CornetaCritica,1
elizsoares,CarlosS48442375,1
elizsoares,euailze,1
elizsoares,lolaescreva,1
eng_kelly,marcosaraujjoo,1
elizsoares,nadiaprado7,1
eng_kelly,lolaescreva,1
eng_kelly,euailze,1
eng_kelly,daniduncan,1
eng_kelly,consallys,1
eng_kelly,claudiofalatudo,1
eng_kelly,cesarcalejon1,1
eng_kelly,buarqueana13,1
eng_kelly,M_Cristian18,1
eng_kelly,EdsonFilho74,1
eng_kelly,DREEZ_171,1
elvisgopr,belcrischagas,1
elvisgopr,PatriaAmada0709,1
elvisgopr,Kaiqueporto32,1
elvisgopr,Danicarlasou,1
elizsoares,zurenemanique,1
elizsoares,winsletpaulson,1
elizsoares,oicram2016,1
dornele6,aro_marcia,1
dornele6,Karinegtoledo,1
dornele6,KaiolOof,1
conciliele,consallys,1
conciliele,cesarcalejon1,1
conciliele,cervejadgarrafa,1
conciliele,buarqueana13,1
conciliele,adamoantonioni,1
conciliele,ZellFlorizel,1
conciliele,TiciaEvans,1
conciliele,Sampafalke,1
conciliele,RonnyCombate,1
conciliele,RonaldoJBBarros,1
conciliele,Robi73589635,1
conciliele,OceanAlves,1
conciliele,OBrizolulista,1
conciliele,MarcianoBrito13,1
conciliele,MarcelaSaraivas,1
conciliele,M_Cristian18,1
conciliele,JRBRONKO,1
conciliele,EdsonFilho74,1
conciliele,claudiofalatudo,1
conciliele,daniduncan,1
conciliele,DREEZ_171,1
conciliele,euailze,1
cruz15355282,LuizAlb29422030,1
cristinacosta22,MauricioCostaRS,1
cristinacosta22,FelipZimmer,1
cristiane_cadri,Kaiqueporto32,1
cptadriano2023,aro_marcia,1
cptadriano2023,MauricioCostaRS,1
costasouzalu,Wallcostajf,1
costasouzalu,NikoIasFerreira,1
conservadora_a,AnaPifano2,1
conciliele,zurenemanique,1
conciliele,sorayabborges,1
conciliele,queenvermelha13,1
conciliele,oicram2016,1
conciliele,lolaescreva,1
conciliele,lazarorosa25,1
conciliele,giordano_girl,1
anpgo,SamuraiChines,1
conciliele,DielNascimento4,1
conciliele,Cro_thom,1
crymbleshotmai1,GleissonOpus,1
claricekrohn,Wallcostajf,1
clarambfortes,lazarorosa25,1
clarahcantunes,vanete_araujo,1
clarahcantunes,mjmacul_lima,1
clarahcantunes,marianelazaro,1
clarahcantunes,lugubremonotomo,1
clarahcantunes,goncalves273,1
clarahcantunes,gabrielpaulo221,1
clarahcantunes,eoliveira2003,1
clarahcantunes,arrudamarlon_,1
clarahcantunes,aro_marcia,1
clarahcantunes,Wallcostajf,1
clarahcantunes,Tricolorspfc00,1
clarahcantunes,SillvaDanizinha,1
clarahcantunes,Sampafalke,1
