created_at,source,target
2022-11-22 18:15:18,rochamikas44,Kaiqueporto32
2022-11-22 18:15:30,VCris_RDE,BrunoCalixto22
2022-11-22 18:15:33,jacquietequila,martinha17_
2022-11-22 18:15:34,pinkylvtc,Karinegtoledo
2022-11-22 18:15:39,dornele6,aro_marcia
2022-11-22 18:15:43,gonzaga_marconi,_Janoninho
2022-11-22 18:15:45,Fernand6795377,linapaulaqueir1
2022-11-22 18:15:48,dornele6,CinthiaMagal
2022-11-22 18:15:50,dornele6,KaiolOof
2022-11-22 18:15:52,jacquietequila,Karinegtoledo
2022-11-22 18:15:53,VCris_RDE,UdaJuris2022
2022-11-22 18:15:55,rochamikas44,DCDM115
2022-11-22 18:15:57,natanael14107,claryene
2022-11-22 18:16:02,rochamikas44,Karinegtoledo
2022-11-22 18:16:05,Fernand6795377,aro_marcia
2022-11-22 18:16:10,Fernand6795377,Elainnefaria1
2022-11-22 18:16:10,AntoniaALacerda,AlvesContabeis
2022-11-22 18:16:15,Fernand6795377,joaovoltou
2022-11-22 18:16:17,Andress01675173,Suzano_info
2022-11-22 18:16:28,argentina_info2,aro_marcia
2022-11-22 18:16:34,Fernand6795377,LeoniceMariana1
2022-11-22 18:16:34,AntoniaALacerda,Douglasvet33
2022-11-22 18:16:46,jacquietequila,CarolPollice
2022-11-22 18:16:50,jacquietequila,leojardels
2022-11-22 18:16:50,Fernand6795377,Wallcostajf
2022-11-22 18:16:51,dornele6,Karinegtoledo
2022-11-22 18:16:54,carrosstal,Danicarlasou
2022-11-22 18:16:55,vagnerfurquim1,DCDM115
2022-11-22 18:16:59,jrelisiar,vanete_araujo
2022-11-22 18:17:02,Fernand6795377,John_N4varro
2022-11-22 18:17:10,Marta_Haya,John_N4varro
2022-11-22 18:17:34,xandaoloc,vanzuty
2022-11-22 18:17:36,mukinha_samu3l,Danicarlasou
2022-11-22 18:17:40,carrosstal,Suzano_info
2022-11-22 18:17:43,LSerranegra,BrunoCalixto22
2022-11-22 18:17:44,neide_vp,Suzano_info
2022-11-22 18:17:46,SoniaAlvares8,Elainnefaria1
2022-11-22 18:17:48,natanael14107,Karinegtoledo
2022-11-22 18:17:48,Francis84008209,_Janoninho
2022-11-22 18:17:48,jacquietequila,lugubremonotomo
2022-11-22 18:17:58,carrosstal,vanete_araujo
2022-11-22 18:17:58,neide_vp,CinthiaMagal
